ID Obat;Nama Obat;Jenis Obat;Bentuk Obat;Kategori Obat;Dosis;Harga;Tanggal Expired;Jumlah Stok;Permintaan Bulanan;Waktu Reorder (hari);Jumlah Reorder;Penjualan
67;Simvastatin;Antipiretik;Injeksi;Bebas;250 mg;5000;2025-06-01;300;30;7;30;Ya
68;Amlodipine;Analgesik;Sirup;Bebas;500 mg;5000;2025-07-30;200;20;45;20;Tidak
69;Ciprofloxacin;Antibiotik;Kapsul;Resep;10 mg;5000;2025-12-06;200;15;30;10;Ya
70;Paracetamol;Antibiotik;Tablet;Tradisional;250 mg;25000;2025-07-30;100;20;45;100;Tidak
71;Lisinopril;Antiinflamasi;Kapsul;Herbal;5 mg;20000;2026-06-15;10;30;15;100;Ya
72;Lisinopril;Antibiotik;Injeksi;Bebas;500 mg;20000;2025-03-31;20;15;7;30;Tidak
73;Metformin;Antipiretik;Salep;Tradisional;250 mg;10000;2025-05-21;300;10;45;300;Tidak
74;Ciprofloxacin;Antibiotik;Tablet;Herbal;500 mg;5000;2024-12-05;50;30;7;20;Ya
75;Lisinopril;Antipiretik;Sirup;Resep;500 mg;25000;2026-02-07;500;5;7;50;Tidak
76;Lisinopril;Antihipertensi;Injeksi;Tradisional;50 mg;25000;2025-12-23;10;30;30;100;Tidak
77;Omeprazole;Antihipertensi;Tablet;Herbal;100 mg;20000;2025-06-02;20;30;45;30;Ya
78;Metformin;Antihipertensi;Kapsul;Tradisional;50 mg;10000;2026-04-02;100;10;7;10;Ya
79;Amoxicillin;Antibiotik;Salep;Tradisional;100 mg;10000;2026-03-06;10;15;30;50;Tidak
80;Simvastatin;Antipiretik;Injeksi;Tradisional;50 mg;5000;2025-03-01;200;15;45;20;Ya
81;Omeprazole;Antiinflamasi;Injeksi;Resep;5 mg;25000;2025-01-02;10;50;30;20;Ya
82;Metformin;Antihipertensi;Sirup;Herbal;50 mg;15000;2024-08-02;10;5;7;500;Ya
83;Metformin;Antipiretik;Salep;Herbal;5 mg;15000;2025-01-30;50;50;30;30;Ya
84;Omeprazole;Antiinflamasi;Injeksi;Herbal;100 mg;25000;2025-11-17;10;15;45;200;Tidak
85;Ciprofloxacin;Antipiretik;Injeksi;Herbal;50 mg;5000;2024-08-21;30;5;45;500;Ya
86;Atorvastatin;Antiinflamasi;Injeksi;Herbal;10 mg;15000;2025-07-19;500;20;30;50;Tidak
87;Simvastatin;Antipiretik;Salep;Tradisional;5 mg;15000;2025-05-31;500;50;7;300;Ya
88;Ibuprofen;Analgesik;Tablet;Bebas;100 mg;10000;2025-08-27;10;20;45;300;Tidak
89;Amoxicillin;Analgesik;Tablet;Bebas;500 mg;15000;2025-10-10;300;30;15;50;Ya
90;Paracetamol;Antiinflamasi;Tablet;Herbal;100 mg;25000;2025-06-05;30;10;7;30;Tidak
91;Amlodipine;Analgesik;Salep;Bebas;10 mg;5000;2025-08-19;20;20;7;200;Ya
92;Paracetamol;Antibiotik;Salep;Resep;500 mg;10000;2024-11-19;500;20;45;300;Tidak
93;Atorvastatin;Antibiotik;Injeksi;Resep;100 mg;10000;2025-06-21;500;5;15;30;Ya
94;Atorvastatin;Antipiretik;Sirup;Tradisional;10 mg;5000;2026-06-13;30;10;30;30;Ya
95;Atorvastatin;Analgesik;Salep;Resep;500 mg;20000;2025-02-22;500;5;45;500;Tidak
96;Paracetamol;Analgesik;Kapsul;Resep;100 mg;10000;2024-07-22;500;10;30;50;Tidak
97;Lisinopril;Analgesik;Kapsul;Bebas;5 mg;25000;2025-08-09;500;5;7;200;Ya
98;Simvastatin;Antibiotik;Injeksi;Resep;50 mg;5000;2025-11-27;30;30;45;30;Tidak
99;Ciprofloxacin;Antibiotik;Tablet;Bebas;50 mg;10000;2024-07-23;300;5;45;500;Tidak
100;Ciprofloxacin;Antihipertensi;Injeksi;Tradisional;250 mg;15000;2026-05-17;300;20;7;500;Ya
101;Amlodipine;Antihipertensi;Injeksi;Resep;50 mg;5000;2025-11-07;50;50;7;100;Tidak
102;Paracetamol;Antiinflamasi;Tablet;Resep;10 mg;25000;2026-06-15;200;30;45;20;Tidak
103;Amoxicillin;Antibiotik;Kapsul;Bebas;500 mg;5000;2026-06-03;300;50;45;30;Tidak
104;Amlodipine;Analgesik;Sirup;Tradisional;50 mg;20000;2025-05-31;500;20;45;10;Ya
105;Paracetamol;Antiinflamasi;Injeksi;Bebas;100 mg;5000;2025-11-21;200;5;7;100;Ya
106;Amoxicillin;Analgesik;Salep;Bebas;250 mg;20000;2025-03-27;300;50;15;30;Ya
107;Amlodipine;Antibiotik;Salep;Tradisional;250 mg;15000;2024-07-26;300;30;7;200;Tidak
108;Simvastatin;Antihipertensi;Tablet;Herbal;500 mg;5000;2026-02-10;300;50;30;20;Tidak
109;Amoxicillin;Antibiotik;Kapsul;Bebas;250 mg;10000;2025-04-14;10;30;7;30;Ya
110;Paracetamol;Antibiotik;Salep;Herbal;50 mg;10000;2026-06-03;10;10;30;30;Ya
111;Amlodipine;Antihipertensi;Kapsul;Herbal;10 mg;5000;2025-06-24;200;10;30;50;Ya
112;Atorvastatin;Analgesik;Kapsul;Herbal;100 mg;5000;2024-07-21;10;50;15;500;Ya
113;Lisinopril;Analgesik;Tablet;Herbal;10 mg;15000;2024-11-29;50;50;30;100;Tidak
114;Metformin;Antibiotik;Tablet;Bebas;5 mg;20000;2026-03-31;10;10;45;300;Tidak
115;Omeprazole;Antiinflamasi;Tablet;Tradisional;10 mg;5000;2025-02-04;20;5;7;100;Tidak
116;Paracetamol;Antibiotik;Tablet;Bebas;5 mg;5000;2025-10-31;30;10;45;20;Tidak
117;Omeprazole;Antiinflamasi;Sirup;Resep;50 mg;15000;2026-06-15;20;10;15;50;Tidak
118;Atorvastatin;Antihipertensi;Sirup;Herbal;10 mg;10000;2024-11-14;10;5;30;300;Tidak
119;Amoxicillin;Antipiretik;Tablet;Tradisional;50 mg;15000;2025-05-25;100;20;7;500;Tidak
120;Paracetamol;Antipiretik;Injeksi;Herbal;50 mg;10000;2024-09-24;20;20;15;20;Tidak
121;Amlodipine;Antipiretik;Sirup;Tradisional;250 mg;5000;2025-07-13;50;10;7;500;Tidak
122;Atorvastatin;Antibiotik;Tablet;Herbal;100 mg;5000;2025-02-16;200;5;15;20;Ya
123;Atorvastatin;Analgesik;Sirup;Herbal;10 mg;10000;2024-12-21;30;15;30;100;Ya
124;Paracetamol;Antiinflamasi;Kapsul;Tradisional;5 mg;20000;2025-12-05;30;50;7;500;Tidak
125;Lisinopril;Antiinflamasi;Kapsul;Herbal;500 mg;5000;2026-06-21;10;20;45;20;Ya
126;Amoxicillin;Antiinflamasi;Tablet;Bebas;500 mg;25000;2026-04-09;10;15;15;30;Ya
127;Lisinopril;Antibiotik;Tablet;Bebas;10 mg;5000;2026-04-02;20;15;15;500;Tidak
128;Lisinopril;Antibiotik;Kapsul;Resep;100 mg;15000;2026-01-14;30;5;7;50;Ya
129;Lisinopril;Antihipertensi;Tablet;Bebas;100 mg;10000;2024-08-31;200;50;45;20;Tidak
130;Ciprofloxacin;Antibiotik;Salep;Bebas;500 mg;20000;2025-12-20;500;50;7;50;Ya
131;Atorvastatin;Analgesik;Sirup;Tradisional;50 mg;10000;2025-06-22;200;10;30;10;Ya
132;Amlodipine;Antihipertensi;Sirup;Resep;50 mg;20000;2025-04-03;20;15;15;20;Tidak
133;Ibuprofen;Analgesik;Sirup;Tradisional;100 mg;20000;2025-03-23;200;10;30;30;Tidak
134;Amlodipine;Antiinflamasi;Injeksi;Resep;5 mg;20000;2025-07-24;10;30;7;500;Tidak
135;Ibuprofen;Antibiotik;Kapsul;Tradisional;100 mg;10000;2026-01-14;10;20;7;200;Tidak
136;Metformin;Antihipertensi;Sirup;Resep;50 mg;5000;2024-10-31;10;5;45;20;Ya
137;Simvastatin;Antiinflamasi;Sirup;Herbal;10 mg;20000;2026-02-26;50;50;15;30;Ya
138;Simvastatin;Antibiotik;Tablet;Herbal;50 mg;5000;2025-02-05;100;5;45;20;Tidak
139;Omeprazole;Antipiretik;Sirup;Bebas;500 mg;15000;2026-03-17;20;15;15;500;Tidak
140;Amoxicillin;Antiinflamasi;Sirup;Herbal;100 mg;5000;2024-12-25;300;15;7;30;Ya
141;Omeprazole;Antibiotik;Kapsul;Bebas;500 mg;10000;2024-08-02;200;5;45;50;Tidak
142;Lisinopril;Antibiotik;Injeksi;Bebas;10 mg;20000;2025-09-03;500;10;30;500;Ya
143;Ibuprofen;Antipiretik;Injeksi;Herbal;5 mg;10000;2025-07-29;50;5;15;500;Ya
144;Ibuprofen;Antibiotik;Kapsul;Resep;100 mg;25000;2025-10-18;20;10;45;10;Ya
145;Atorvastatin;Antibiotik;Sirup;Resep;250 mg;5000;2026-05-30;300;50;30;100;Ya
146;Simvastatin;Analgesik;Sirup;Herbal;100 mg;5000;2024-09-25;500;50;15;50;Ya
147;Amoxicillin;Antihipertensi;Sirup;Bebas;50 mg;25000;2025-02-27;200;5;30;20;Tidak
148;Ibuprofen;Antibiotik;Kapsul;Herbal;5 mg;15000;2025-10-19;500;15;30;300;Tidak
149;Simvastatin;Antiinflamasi;Sirup;Herbal;250 mg;25000;2026-03-07;100;30;7;20;Tidak
150;Simvastatin;Antibiotik;Kapsul;Herbal;250 mg;25000;2025-09-15;30;5;7;30;Ya
151;Simvastatin;Antihipertensi;Salep;Bebas;250 mg;15000;2025-01-05;200;30;15;20;Tidak
152;Ibuprofen;Antiinflamasi;Sirup;Resep;100 mg;5000;2025-03-22;50;20;15;500;Tidak
153;Ibuprofen;Analgesik;Tablet;Tradisional;100 mg;15000;2026-02-17;50;30;45;200;Ya
154;Paracetamol;Antibiotik;Salep;Herbal;50 mg;20000;2026-02-10;200;50;7;10;Ya
155;Atorvastatin;Antiinflamasi;Salep;Resep;250 mg;20000;2025-05-07;20;5;7;300;Ya
156;Paracetamol;Antipiretik;Tablet;Herbal;10 mg;25000;2025-11-02;300;10;15;50;Ya
157;Metformin;Analgesik;Injeksi;Herbal;5 mg;25000;2026-02-06;300;5;7;300;Ya
158;Simvastatin;Antibiotik;Salep;Herbal;10 mg;10000;2026-04-14;30;10;30;20;Ya
159;Simvastatin;Analgesik;Injeksi;Tradisional;500 mg;25000;2024-10-24;20;50;15;30;Tidak
160;Lisinopril;Antipiretik;Kapsul;Bebas;50 mg;10000;2025-04-08;20;10;7;500;Tidak
161;Ciprofloxacin;Antibiotik;Salep;Bebas;10 mg;15000;2025-01-24;200;10;7;300;Ya
162;Atorvastatin;Antipiretik;Tablet;Bebas;10 mg;10000;2026-03-03;100;30;7;20;Tidak
163;Atorvastatin;Antipiretik;Kapsul;Bebas;500 mg;5000;2025-10-25;10;15;7;100;Tidak
164;Ciprofloxacin;Analgesik;Sirup;Tradisional;500 mg;20000;2024-10-20;30;10;7;100;Ya
165;Lisinopril;Antibiotik;Tablet;Tradisional;250 mg;15000;2025-04-13;300;10;45;300;Tidak
166;Amlodipine;Antihipertensi;Kapsul;Tradisional;5 mg;10000;2024-12-15;50;30;30;300;Tidak
167;Paracetamol;Antihipertensi;Tablet;Bebas;10 mg;10000;2026-03-12;500;5;15;50;Ya
168;Metformin;Analgesik;Kapsul;Resep;5 mg;10000;2025-09-03;10;50;30;30;Ya
169;Ibuprofen;Antihipertensi;Sirup;Herbal;5 mg;15000;2025-04-16;30;10;30;100;Tidak
170;Amoxicillin;Antibiotik;Sirup;Resep;5 mg;5000;2026-05-20;100;10;7;100;Ya
171;Omeprazole;Antipiretik;Injeksi;Tradisional;50 mg;20000;2025-10-27;20;20;15;30;Ya
172;Amlodipine;Antibiotik;Injeksi;Bebas;5 mg;15000;2026-07-15;30;10;7;50;Ya
173;Amoxicillin;Antiinflamasi;Injeksi;Tradisional;50 mg;15000;2026-01-18;20;30;30;300;Tidak
174;Lisinopril;Antiinflamasi;Salep;Resep;100 mg;25000;2024-08-31;50;30;30;10;Ya
175;Lisinopril;Antiinflamasi;Injeksi;Herbal;10 mg;15000;2025-05-23;200;20;45;30;Ya
176;Ciprofloxacin;Analgesik;Kapsul;Tradisional;50 mg;20000;2025-01-18;500;5;7;50;Tidak
177;Atorvastatin;Antiinflamasi;Sirup;Tradisional;50 mg;15000;2026-05-31;200;50;7;20;Ya
178;Amlodipine;Antihipertensi;Injeksi;Tradisional;50 mg;15000;2026-06-01;300;50;30;20;Ya
179;Simvastatin;Analgesik;Injeksi;Bebas;100 mg;5000;2025-05-05;100;50;45;30;Ya
180;Lisinopril;Analgesik;Kapsul;Herbal;100 mg;20000;2024-11-10;100;5;30;20;Ya
181;Simvastatin;Analgesik;Tablet;Resep;5 mg;5000;2025-04-05;20;20;15;50;Tidak
182;Ciprofloxacin;Antipiretik;Tablet;Herbal;250 mg;25000;2024-07-29;20;30;7;50;Ya
183;Amlodipine;Antiinflamasi;Sirup;Herbal;50 mg;10000;2026-04-01;50;15;45;100;Tidak
184;Ibuprofen;Antihipertensi;Salep;Bebas;500 mg;20000;2024-09-08;300;20;45;300;Tidak
185;Ciprofloxacin;Antibiotik;Tablet;Tradisional;5 mg;20000;2025-01-13;200;10;7;50;Tidak
186;Omeprazole;Antipiretik;Tablet;Bebas;100 mg;10000;2025-02-04;50;10;15;500;Tidak
187;Omeprazole;Analgesik;Kapsul;Bebas;10 mg;15000;2025-01-18;500;50;30;20;Tidak
188;Metformin;Analgesik;Tablet;Tradisional;10 mg;10000;2024-10-28;50;50;15;200;Ya
189;Paracetamol;Antiinflamasi;Kapsul;Bebas;50 mg;10000;2025-07-22;50;10;30;100;Ya
190;Omeprazole;Analgesik;Kapsul;Tradisional;250 mg;15000;2025-11-08;30;10;15;500;Tidak
191;Simvastatin;Antihipertensi;Kapsul;Bebas;50 mg;5000;2024-08-13;30;5;45;10;Tidak
192;Lisinopril;Antiinflamasi;Tablet;Herbal;50 mg;20000;2026-03-02;30;50;45;100;Tidak
193;Omeprazole;Antipiretik;Tablet;Tradisional;100 mg;10000;2024-08-23;10;5;30;100;Ya
194;Amlodipine;Analgesik;Injeksi;Herbal;500 mg;25000;2026-03-07;30;30;7;10;Ya
195;Metformin;Analgesik;Injeksi;Tradisional;50 mg;25000;2025-03-18;50;10;15;200;Ya
196;Ciprofloxacin;Antihipertensi;Kapsul;Herbal;5 mg;25000;2026-02-07;10;20;7;20;Ya
197;Ciprofloxacin;Antiinflamasi;Salep;Resep;100 mg;25000;2024-12-11;300;20;45;500;Tidak
198;Metformin;Analgesik;Kapsul;Bebas;10 mg;15000;2024-09-11;20;20;30;10;Ya
199;Metformin;Antipiretik;Salep;Resep;5 mg;5000;2024-10-08;10;20;45;500;Tidak
200;Amlodipine;Antihipertensi;Tablet;Bebas;50 mg;20000;2026-05-30;200;20;7;100;Ya
201;Ibuprofen;Antipiretik;Injeksi;Tradisional;50 mg;5000;2025-10-30;50;30;7;500;Ya
202;Simvastatin;Antipiretik;Kapsul;Bebas;5 mg;25000;2024-10-17;30;30;30;100;Tidak
203;Atorvastatin;Antipiretik;Kapsul;Tradisional;500 mg;25000;2024-10-21;20;30;30;200;Ya
204;Amoxicillin;Analgesik;Salep;Tradisional;100 mg;10000;2026-02-18;100;10;15;100;Ya
205;Metformin;Antipiretik;Kapsul;Bebas;100 mg;10000;2026-04-26;300;50;45;100;Tidak
206;Ibuprofen;Antipiretik;Salep;Bebas;500 mg;20000;2026-06-12;500;5;15;200;Ya
207;Ibuprofen;Antibiotik;Injeksi;Herbal;5 mg;10000;2026-05-28;100;30;45;20;Ya
208;Ibuprofen;Antipiretik;Salep;Tradisional;10 mg;25000;2025-12-18;300;30;45;500;Tidak
209;Amlodipine;Antihipertensi;Injeksi;Bebas;50 mg;15000;2025-06-02;300;50;30;100;Tidak
210;Atorvastatin;Antipiretik;Salep;Resep;5 mg;15000;2025-08-16;20;20;45;20;Ya
211;Amoxicillin;Antibiotik;Salep;Herbal;5 mg;15000;2026-05-31;500;50;45;50;Ya
212;Omeprazole;Analgesik;Sirup;Tradisional;50 mg;20000;2025-04-18;10;5;15;10;Ya
213;Paracetamol;Antihipertensi;Kapsul;Bebas;500 mg;15000;2026-04-01;30;5;45;100;Ya
214;Ibuprofen;Analgesik;Kapsul;Tradisional;500 mg;15000;2026-03-24;20;20;45;50;Tidak
215;Omeprazole;Analgesik;Sirup;Resep;500 mg;10000;2024-09-29;100;10;30;200;Tidak
216;Lisinopril;Antibiotik;Kapsul;Tradisional;50 mg;15000;2026-05-22;20;10;15;20;Ya
217;Lisinopril;Antihipertensi;Kapsul;Bebas;250 mg;25000;2025-01-22;200;10;30;20;Tidak
218;Amoxicillin;Antiinflamasi;Salep;Tradisional;50 mg;15000;2025-10-18;10;30;7;100;Ya
219;Amoxicillin;Antiinflamasi;Kapsul;Resep;250 mg;5000;2025-03-17;10;30;15;200;Ya
220;Simvastatin;Analgesik;Injeksi;Bebas;250 mg;25000;2026-05-24;10;10;45;500;Tidak
221;Simvastatin;Antipiretik;Salep;Resep;10 mg;10000;2025-06-11;200;15;7;30;Ya
222;Paracetamol;Antiinflamasi;Tablet;Bebas;5 mg;20000;2024-11-20;30;10;7;20;Tidak
223;Amoxicillin;Antibiotik;Tablet;Tradisional;100 mg;5000;2025-12-06;200;20;7;10;Tidak
224;Ciprofloxacin;Antiinflamasi;Sirup;Bebas;10 mg;20000;2025-02-04;300;20;15;200;Tidak
225;Paracetamol;Antibiotik;Sirup;Bebas;500 mg;10000;2026-02-26;10;20;30;50;Ya
226;Metformin;Antiinflamasi;Tablet;Tradisional;500 mg;5000;2025-04-16;200;5;30;50;Ya
227;Lisinopril;Antihipertensi;Salep;Herbal;10 mg;10000;2025-04-11;100;10;45;20;Tidak
228;Amoxicillin;Antiinflamasi;Salep;Tradisional;500 mg;5000;2024-10-02;500;15;30;200;Ya
229;Paracetamol;Antibiotik;Salep;Resep;5 mg;10000;2024-07-16;30;20;15;30;Ya
230;Atorvastatin;Antibiotik;Injeksi;Tradisional;50 mg;15000;2025-06-07;10;15;45;500;Tidak
231;Ciprofloxacin;Antiinflamasi;Kapsul;Tradisional;100 mg;5000;2025-02-09;200;5;45;300;Tidak
232;Metformin;Antihipertensi;Tablet;Bebas;10 mg;20000;2024-11-20;20;30;30;500;Ya
233;Atorvastatin;Antiinflamasi;Kapsul;Resep;250 mg;15000;2024-11-24;20;15;30;500;Tidak
234;Amlodipine;Antipiretik;Injeksi;Bebas;500 mg;25000;2025-12-01;50;20;7;50;Ya
235;Ciprofloxacin;Antiinflamasi;Salep;Bebas;500 mg;25000;2024-10-25;20;5;15;20;Tidak
236;Ibuprofen;Antiinflamasi;Tablet;Resep;500 mg;15000;2025-10-10;30;15;45;20;Ya
237;Simvastatin;Antipiretik;Injeksi;Tradisional;10 mg;20000;2025-10-31;20;15;45;30;Tidak
238;Lisinopril;Analgesik;Kapsul;Resep;5 mg;5000;2025-06-26;200;50;7;10;Tidak
239;Simvastatin;Antipiretik;Sirup;Resep;5 mg;15000;2024-09-28;50;5;30;30;Tidak
240;Lisinopril;Antiinflamasi;Injeksi;Bebas;500 mg;20000;2026-02-22;300;50;45;300;Tidak
241;Metformin;Antipiretik;Injeksi;Resep;100 mg;10000;2025-12-06;300;50;45;100;Tidak
242;Metformin;Antihipertensi;Tablet;Tradisional;50 mg;15000;2026-02-18;30;30;15;50;Ya
243;Simvastatin;Antipiretik;Sirup;Tradisional;500 mg;25000;2025-02-07;50;15;45;200;Tidak
244;Metformin;Antihipertensi;Tablet;Resep;50 mg;5000;2025-11-12;50;5;30;300;Tidak
245;Lisinopril;Antihipertensi;Sirup;Tradisional;10 mg;10000;2026-05-10;50;15;15;50;Ya
246;Amoxicillin;Analgesik;Injeksi;Tradisional;100 mg;15000;2024-10-05;10;50;7;100;Ya
247;Lisinopril;Analgesik;Tablet;Bebas;100 mg;25000;2026-03-26;20;5;30;100;Tidak
248;Ibuprofen;Antiinflamasi;Salep;Tradisional;5 mg;25000;2025-10-15;500;10;30;300;Tidak
249;Amoxicillin;Antihipertensi;Injeksi;Resep;10 mg;25000;2025-06-17;50;30;15;20;Ya
250;Amlodipine;Antipiretik;Kapsul;Herbal;250 mg;15000;2026-06-03;10;30;30;100;Tidak
251;Amoxicillin;Antiinflamasi;Tablet;Resep;50 mg;10000;2025-08-13;500;15;30;10;Ya
252;Ibuprofen;Analgesik;Kapsul;Bebas;500 mg;15000;2025-08-21;100;30;45;20;Ya
253;Ciprofloxacin;Antibiotik;Injeksi;Tradisional;500 mg;20000;2026-03-18;300;50;45;30;Tidak
254;Ciprofloxacin;Antibiotik;Sirup;Resep;10 mg;5000;2024-12-09;500;10;7;20;Ya
